Date,Open,High,Low,Close,Adj Close,Volume
2010-09-09,102.500000,102.500000,101.139999,101.320000,80.746849,26500
2010-09-10,101.680000,101.860001,101.300003,101.779999,81.113434,8600
2010-09-13,102.959999,103.139999,102.500000,103.059998,82.133545,33750
2010-09-14,102.839996,103.480003,102.379997,103.040001,82.117607,59400
2010-09-15,102.620003,103.379997,102.400002,103.300003,82.324814,9250
2010-09-16,103.019997,103.320000,102.699997,103.260002,82.292961,59550
2010-09-17,103.879997,103.879997,103.019997,103.360001,82.372627,49350
2010-09-20,103.739998,105.040001,103.459999,105.040001,83.711517,19000
2010-09-21,105.019997,105.440002,104.279999,104.720001,83.456497,19250
2010-09-22,104.559998,105.040001,103.959999,104.160004,83.010193,18100
2010-09-23,103.320000,104.339996,103.120003,103.300003,82.324814,33350
2010-09-24,103.940002,104.900002,103.860001,104.839996,84.005890,24100
2010-09-27,104.980003,104.980003,104.339996,104.339996,83.605278,15000
2010-09-28,104.320000,105.019997,103.419998,105.019997,84.150124,49850
2010-09-29,104.580002,104.919998,104.220001,104.519997,83.749481,15900
2010-09-30,105.199997,105.680000,103.959999,104.360001,83.621292,44750
2010-10-01,105.080002,105.160004,104.160004,104.720001,83.909752,17100
2010-10-04,105.260002,105.260002,103.500000,103.839996,83.204613,88700
2010-10-05,105.019997,106.199997,104.820000,106.120003,85.031532,19850
2010-10-06,106.120003,106.279999,105.620003,105.940002,84.887314,276900
2010-10-07,106.500000,106.500000,105.320000,105.879997,84.839233,49900
2010-10-08,106.019997,106.739998,105.660004,106.680000,85.480232,61550
2010-10-11,106.720001,106.839996,106.279999,106.500000,85.336021,14200
2010-10-12,106.379997,107.239998,105.739998,107.120003,85.832809,42050
2010-10-13,107.580002,108.279999,107.239998,107.760002,86.345627,74450
2010-10-14,107.699997,107.820000,106.800003,107.360001,86.025108,19100
2010-10-15,108.040001,108.080002,106.720001,107.559998,86.185326,54950
2010-10-18,107.620003,108.440002,107.440002,108.339996,86.810387,22850
2010-10-19,107.139999,107.680000,106.019997,106.620003,85.432159,38550
2010-10-20,106.940002,108.160004,106.940002,107.760002,86.345627,22800
2010-10-21,108.260002,108.760002,107.300003,107.919998,86.473862,29400
2010-10-22,108.160004,108.199997,107.940002,108.180000,86.682175,24850
2010-10-25,109.019997,109.279999,108.459999,108.500000,86.938568,29600
2010-10-26,107.919998,108.559998,107.879997,108.480003,86.922546,15000
2010-10-27,107.739998,108.220001,107.220001,108.139999,86.650108,17150
2010-10-28,108.760002,108.820000,107.760002,108.220001,86.714233,19250
2010-10-29,108.099998,108.419998,108.000000,108.300003,86.778313,13400
2010-11-01,108.919998,109.419998,107.760002,108.360001,86.826370,51550
2010-11-02,109.220001,109.419998,108.860001,109.199997,87.499451,26100
2010-11-03,109.419998,109.660004,108.320000,109.660004,87.868050,31850
2010-11-04,110.900002,111.800003,110.739998,111.720001,89.518677,49000
2010-11-05,111.900002,112.300003,111.680000,112.160004,89.871262,48300
2010-11-08,111.879997,112.080002,111.500000,112.019997,89.759087,43400
2010-11-09,112.180000,112.300003,110.800003,111.139999,89.053947,35700
2010-11-10,111.160004,111.599998,110.320000,111.559998,89.390465,28200
2010-11-11,110.680000,111.279999,110.419998,111.199997,89.102020,24000
2010-11-12,110.400002,110.860001,109.379997,109.820000,87.996254,39450
2010-11-15,110.300003,110.519997,109.639999,109.720001,87.916153,202750
2010-11-16,109.019997,109.019997,107.480003,107.959999,86.505882,32850
2010-11-17,108.059998,108.459999,107.779999,108.040001,86.569992,42450
2010-11-18,109.080002,109.919998,109.080002,109.639999,87.852043,26100
2010-11-19,109.500000,109.940002,109.040001,109.900002,88.060349,20250
2010-11-22,109.419998,109.800003,108.580002,109.800003,87.980240,25350
2010-11-23,108.559998,108.639999,107.919998,108.260002,86.746277,142400
2010-11-24,108.940002,109.779999,108.940002,109.660004,87.868050,30100
2010-11-26,108.959999,109.400002,108.820000,109.040001,87.371262,32650
2010-11-29,108.360001,109.160004,107.660004,108.940002,87.291122,46000
2010-11-30,107.959999,108.860001,107.820000,108.180000,86.682175,91950
2010-12-01,109.919998,110.739998,109.879997,110.620003,88.637283,33350
2010-12-02,110.739998,112.099998,110.739998,112.059998,89.791122,60650
2010-12-03,111.660004,112.459999,111.639999,112.339996,90.015472,184100
2010-12-06,112.160004,112.419998,112.000000,112.199997,89.903305,64150
2010-12-07,113.339996,113.379997,112.199997,112.239998,89.935341,109000
2010-12-08,112.400002,112.739998,111.959999,112.699997,90.303940,69050
2010-12-09,113.339996,113.339996,112.660004,113.120003,90.640465,54850
2010-12-10,113.480003,113.879997,113.220001,113.800003,91.185333,73950
2010-12-13,114.320000,114.440002,113.820000,113.860001,91.233414,77050
2010-12-14,114.120003,114.360001,113.660004,113.919998,91.281502,59650
2010-12-15,113.739998,114.199997,113.239998,113.419998,90.880859,43600
2010-12-16,113.559998,114.160004,113.120003,114.080002,91.409721,60600
2010-12-17,114.000000,114.339996,113.820000,114.239998,91.537880,59150
2010-12-20,114.580002,114.739998,113.959999,114.480003,91.730202,72600
2010-12-21,114.860001,115.300003,114.779999,115.180000,92.291115,76200
2010-12-22,115.339996,115.599998,115.239998,115.599998,92.627663,108250
2010-12-23,115.440002,115.519997,115.160004,115.419998,92.483398,57400
2010-12-27,114.459999,115.019997,114.400002,114.980003,92.552620,71800
2010-12-28,115.220001,115.220001,114.800003,115.099998,92.649231,56650
2010-12-29,115.320000,115.440002,115.199997,115.199997,92.729729,53600
2010-12-30,115.120003,115.260002,114.879997,115.019997,92.584824,78900
2010-12-31,114.860001,115.139999,114.680000,115.139999,92.681419,145750
2011-01-03,115.940002,116.660004,115.900002,116.220001,93.550781,119200
2011-01-04,116.559998,116.559998,115.500000,116.120003,93.470284,108350
2011-01-05,115.860001,116.800003,115.720001,116.739998,93.969322,717750
2011-01-06,116.839996,116.919998,116.220001,116.540001,93.808365,72450
2011-01-07,116.699997,116.860001,115.480003,116.300003,93.615150,82250
2011-01-10,115.879997,116.279999,115.480003,116.199997,93.534660,124500
2011-01-11,116.660004,116.839996,116.120003,116.580002,93.840546,131700
2011-01-12,117.320000,117.720001,117.099998,117.620003,94.677704,107350
2011-01-13,117.680000,117.739998,117.160004,117.459999,94.548912,96050
2011-01-14,117.300003,118.339996,117.260002,118.300003,95.225052,193400
2011-01-18,118.260002,118.580002,118.040001,118.500000,95.386032,194900
2011-01-19,118.440002,118.500000,117.019997,117.320000,94.436226,111950
2011-01-20,117.080002,117.379997,116.320000,117.180000,94.323540,103450
2011-01-21,117.900002,118.139999,117.320000,117.440002,94.532784,117950
2011-01-24,117.400002,118.199997,117.379997,118.160004,95.112373,455900
2011-01-25,117.800003,118.199997,117.199997,118.120003,95.080147,226550
2011-01-26,118.440002,118.940002,118.239998,118.739998,95.579224,109250
2011-01-27,118.680000,119.099998,118.480003,118.900002,95.708000,297250
2011-01-28,119.080002,119.220001,116.680000,116.800003,94.017639,891400
2011-01-31,117.220001,117.800003,116.940002,117.699997,94.742065,140550
2011-02-01,118.480003,119.779999,118.379997,119.540001,96.223190,147400
2011-02-02,119.239998,119.660004,119.239998,119.339996,96.062164,91000
2011-02-03,119.199997,119.800003,118.500000,119.639999,96.303673,72250
2011-02-04,119.699997,120.019997,119.139999,119.959999,96.561279,97050
2011-02-07,120.300003,121.120003,120.260002,120.720001,97.172997,118050
2011-02-08,120.879997,121.300003,120.599998,121.279999,97.623810,153500
